time,satcode,region_or_station
5136,10,A--105
5136,10,A--112
5136,10,A--113
5136,20,A--114
5136,10,A--120
5136,10,A--121
5136,10,A--122
5136,20,A--122
5136,20,A--123
5136,20,A--124
5136,20,A--129
5136,20,A--130
5136,20,A--131
5136,20,A--132
5136,20,A--135
5136,20,A--136
5136,16,A--153
5136,16,A--154
5136,16,A--160
5136,16,A--161
364.9999998,2,G-18
364.9999998,11,G-20
888.0000001,20,G-4
888.0000001,20,G-17
888.0000001,6,G-18
888.0000001,18,G-20
1467,22,G-4
1467,14,G-5
1467,13,G-17
1467,7,G-20
1848,12,G-5
1848,1,G-8
1848,24,G-11
1848,15,G-13
1848,22,G-14
1848,5,G-14
1872,3,G-11
1872,1,G-16
1872,19,G-18
1872,22,G-19
1941,3,G-11
1941,9,G-14
1941,1,G-16
1941,19,G-18
1941,22,G-19
2021,2,G-11
2021,9,G-14
2021,1,G-16
2021,19,G-18
2157,2,G-11
2157,9,G-14
2157,9,G-19
2443,2,G-11
2443,14,G-16
2443,5,G-17
2443,9,G-19
2813,14,G-16
2813,17,G-19
2813,13,G-20
3197,16,G-5
3197,13,G-10
3197,3,G-17
3332,6,G-4
3332,4,G-15
3332,13,G-16
3332,2,G-17
3332,6,G-17
3556,6,G-4
3556,13,G-7
3556,6,G-17
3971,14,G-3
3971,12,G-4
3971,22,G-7
3971,12,G-17
4137,11,G-5
4137,12,G-17
4285,6,G-1
4285,17,G-2
4285,11,G-5
4507,6,G-1
4507,5,G-6
4882,10,G-12
5136,20,G-12
