time,sat_name,subRegion,shaded
2025-11-28T19:35:58.382Z,EYESAT A (AO-27),A--142,TRUE
2025-11-28T19:35:58.382Z,USA 119,A--142,TRUE
2025-11-28T19:45:12.382Z,PHASE 3B (AO-10),A--48,FALSE
2025-11-28T19:45:12.382Z,OPS 5712 (P/L 160),A--56,TRUE
2025-11-28T19:45:12.382Z,OPS 5712 (P/L 160),A--64,TRUE
2025-11-28T19:45:12.382Z,OPS 5712 (P/L 160),A--72,TRUE
2025-11-28T19:45:12.382Z,OPS 5712 (P/L 160),A--73,TRUE
2025-11-28T19:47:28.382Z,UOSAT 2 (UO-11),A--16,FALSE
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--56,TRUE
2025-11-28T19:47:28.382Z,PHASE 3B (AO-10),A--56,FALSE
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--64,TRUE
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--65,TRUE
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--72,TRUE
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--73,TRUE
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--74,TRUE
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--80,TRUE
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--81,TRUE
2025-11-28T19:47:28.382Z,TEMPSAT 1,A--137,TRUE
2025-11-28T19:47:28.382Z,RIGIDSPHERE 2 (LCS 4),A--137,TRUE
2025-11-28T19:47:28.382Z,RIGIDSPHERE 2 (LCS 4),A--138,TRUE
2025-11-28T19:47:28.382Z,TEMPSAT 1,A--141,TRUE
2025-11-28T19:47:28.382Z,RIGIDSPHERE 2 (LCS 4),A--141,TRUE
2025-11-28T19:47:28.382Z,TEMPSAT 1,A--142,TRUE
2025-11-28T19:47:28.382Z,RIGIDSPHERE 2 (LCS 4),A--142,TRUE
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--5,FALSE
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--9,FALSE
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--10,FALSE
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--14,FALSE
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--15,FALSE
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--16,FALSE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--64,TRUE
2025-11-28T19:52:14.382Z,PHASE 3B (AO-10),A--64,TRUE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--65,TRUE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--66,TRUE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--73,TRUE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--74,TRUE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--75,TRUE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--81,TRUE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--82,TRUE
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--83,TRUE
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--133,TRUE
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--137,TRUE
2025-11-28T19:52:14.382Z,RIGIDSPHERE 2 (LCS 4),A--137,TRUE
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--138,TRUE
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--139,TRUE
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--141,TRUE
2025-11-28T19:52:14.382Z,RIGIDSPHERE 2 (LCS 4),A--141,TRUE
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--142,TRUE
2025-11-28T19:52:14.382Z,RIGIDSPHERE 2 (LCS 4),A--142,TRUE
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--1,FALSE
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--2,FALSE
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--3,FALSE
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--4,FALSE
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--6,FALSE
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--7,FALSE
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--8,FALSE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--76,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--77,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--78,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--79,TRUE
2025-11-28T19:58:24.382Z,PHASE 3B (AO-10),A--80,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--84,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--85,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--86,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--87,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--93,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--94,TRUE
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--95,TRUE
2025-11-28T19:58:24.382Z,JAS-2 (FO-29),A--137,TRUE
2025-11-28T19:58:24.382Z,TEMPSAT 1,A--140,TRUE
2025-11-28T19:58:24.382Z,JAS-2 (FO-29),A--141,TRUE
2025-11-28T19:58:24.382Z,JAS-2 (FO-29),A--142,TRUE
2025-11-28T20:04:48.382Z,LCS 1,A--1,FALSE
2025-11-28T20:04:48.382Z,LCS 1,A--2,FALSE
2025-11-28T20:04:48.382Z,LCS 1,A--3,FALSE
2025-11-28T20:04:48.382Z,LCS 1,A--4,FALSE
2025-11-28T20:04:48.382Z,LCS 1,A--5,FALSE
2025-11-28T20:04:48.382Z,LCS 1,A--8,FALSE
2025-11-28T20:04:48.382Z,LCS 1,A--9,FALSE
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--129,TRUE
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--130,TRUE
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--134,TRUE
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--135,TRUE
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--136,TRUE
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--139,TRUE
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--140,TRUE
2025-11-28T20:04:48.382Z,UOSAT 2 (UO-11),A--177,FALSE
2025-11-28T20:04:48.382Z,UOSAT 2 (UO-11),A--183,FALSE
2025-11-28T20:04:48.382Z,UOSAT 2 (UO-11),A--184,FALSE
2025-11-28T20:04:48.382Z,UOSAT 2 (UO-11),A--185,FALSE
2025-11-28T20:07:03.382Z,LCS 1,A--6,FALSE
2025-11-28T20:07:03.382Z,LCS 1,A--7,FALSE
2025-11-28T20:07:03.382Z,LCS 1,A--11,FALSE
2025-11-28T20:07:03.382Z,LCS 1,A--12,FALSE
2025-11-28T20:07:03.382Z,LCS 1,A--13,FALSE
2025-11-28T20:07:03.382Z,LCS 1,A--17,FALSE
2025-11-28T20:07:03.382Z,LCS 1,A--18,FALSE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--52,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--53,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--59,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--60,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--61,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--62,TRUE
