time,sat_name,subRegion,angle_g_param
2025-11-28T19:45:12.382Z,OPS 5712 (P/L 160),A--64,0.25
2025-11-28T19:45:12.382Z,OPS 5712 (P/L 160),A--72,0.25
2025-11-28T19:45:12.382Z,OPS 5712 (P/L 160),A--73,0.25
2025-11-28T19:47:28.382Z,UOSAT 2 (UO-11),A--16,0.25
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--56,0.25
2025-11-28T19:47:28.382Z,PHASE 3B (AO-10),A--56,0.25
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--64,0.25
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--65,0.25
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--72,0.25
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--73,0.25
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--74,0.25
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--80,0.25
2025-11-28T19:47:28.382Z,OPS 5712 (P/L 160),A--81,0.25
2025-11-28T19:47:28.382Z,TEMPSAT 1,A--137,0.25
2025-11-28T19:47:28.382Z,RIGIDSPHERE 2 (LCS 4),A--137,0.25
2025-11-28T19:47:28.382Z,RIGIDSPHERE 2 (LCS 4),A--138,0.25
2025-11-28T19:47:28.382Z,TEMPSAT 1,A--141,0.25
2025-11-28T19:47:28.382Z,RIGIDSPHERE 2 (LCS 4),A--141,0.25
2025-11-28T19:47:28.382Z,TEMPSAT 1,A--142,0.25
2025-11-28T19:47:28.382Z,RIGIDSPHERE 2 (LCS 4),A--142,0.25
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--5,0.25
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--9,0.25
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--10,0.25
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--14,0.25
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--15,0.25
2025-11-28T19:52:14.382Z,UOSAT 2 (UO-11),A--16,0.25
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--64,0.25
2025-11-28T19:52:14.382Z,PHASE 3B (AO-10),A--64,0.25
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--65,0.25
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--66,0.25
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--73,0.25
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--74,0.25
